Year,data.Species group or system,Value
2015,,-6.61
2016,,-6.44
2017,,-7.48
2018,,-7.43
2015,data.Birds index,6.08
2016,data.Birds index,5.73
2017,data.Birds index,5.67
2018,data.Birds index,5.79
2015,data.Mammals index,-37.45
2016,data.Mammals index,-36.99
2017,data.Mammals index,-42.68
2018,data.Mammals index,-42.26
2015,data.Fish index,-23.58
2016,data.Fish index,-22.8
2017,data.Fish index,-26.55
2018,data.Fish index,-29.81
2015,data.Terrestrial index,-13.55
2016,data.Terrestrial index,-13.44
2017,data.Terrestrial index,-14.25
2018,data.Terrestrial index,-14.21
2015,data.Freshwater index,36.56
2016,data.Freshwater index,36.52
2017,data.Freshwater index,37.83
2018,data.Freshwater index,37.71
2015,data.Marine index,-11.12
2016,data.Marine index,-10.82
2017,data.Marine index,-16.94
2018,data.Marine index,-16.49
