Year,data.Visible minority,data.Selected sociodemographic characteristics,Value
2021,data.Arab,data.15 to 24 years,70.0
2021,data.Arab,data.25 to 64 years,78.0
2021,data.Arab,data.65 years and over,67.0
2021,data.Arab,data.Immigrants,79.0
2021,data.Arab,data.Men+,80.0
2021,data.Arab,data.Non-immigrants,63.0
2021,data.Arab,"data.Total, 15 years and over",76.0
2021,data.Arab,data.Women+,72.0
2021,data.Black,data.15 to 24 years,75.0
2021,data.Black,data.25 to 64 years,76.0
2021,data.Black,data.65 years and over,76.0
2021,data.Black,data.Immigrants,74.0
2021,data.Black,data.Men+,77.0
2021,data.Black,data.Non-immigrants,76.0
2021,data.Black,"data.Total, 15 years and over",75.0
2021,data.Black,data.Women+,74.0
2021,data.Chinese,data.15 to 24 years,76.0
2021,data.Chinese,data.25 to 64 years,76.0
2021,data.Chinese,data.65 years and over,78.0
2021,data.Chinese,data.Immigrants,77.0
2021,data.Chinese,data.Men+,77.0
2021,data.Chinese,data.Non-immigrants,72.0
2021,data.Chinese,"data.Total, 15 years and over",76.0
2021,data.Chinese,data.Women+,76.0
2021,data.Filipino,data.15 to 24 years,74.0
2021,data.Filipino,data.25 to 64 years,78.0
2021,data.Filipino,data.65 years and over,71.0
2021,data.Filipino,data.Immigrants,76.0
2021,data.Filipino,data.Men+,77.0
2021,data.Filipino,data.Non-immigrants,74.0
2021,data.Filipino,"data.Total, 15 years and over",77.0
2021,data.Filipino,data.Women+,76.0
2021,data.Latin American,data.15 to 24 years,74.0
2021,data.Latin American,data.25 to 64 years,81.2
2021,data.Latin American,data.65 years and over,65.0
2021,data.Latin American,data.Immigrants,78.0
2021,data.Latin American,data.Men+,80.0
2021,data.Latin American,data.Non-immigrants,76.0
2021,data.Latin American,"data.Total, 15 years and over",78.0
2021,data.Latin American,data.Women+,77.0
2021,data.Not a visible minority,data.15 to 24 years,80.8
2021,data.Not a visible minority,data.25 to 64 years,81.6
2021,data.Not a visible minority,data.65 years and over,74.0
2021,data.Not a visible minority,data.Immigrants,79.0
2021,data.Not a visible minority,data.Men+,82.6
2021,data.Not a visible minority,data.Non-immigrants,80.0
2021,data.Not a visible minority,"data.Total, 15 years and over",80.0
2021,data.Not a visible minority,data.Women+,77.0
2021,data.South Asian,data.15 to 24 years,80.0
2021,data.South Asian,data.25 to 64 years,80.5
2021,data.South Asian,data.65 years and over,85.5
2021,data.South Asian,data.Immigrants,83.2
2021,data.South Asian,data.Men+,83.6
2021,data.South Asian,data.Non-immigrants,71.0
2021,data.South Asian,"data.Total, 15 years and over",81.0
2021,data.South Asian,data.Women+,78.0
2021,data.Southeast Asian,data.15 to 24 years,57.0
2021,data.Southeast Asian,data.25 to 64 years,69.0
2021,data.Southeast Asian,data.65 years and over,78.0
2021,data.Southeast Asian,data.Immigrants,66.0
2021,data.Southeast Asian,data.Men+,75.0
2021,data.Southeast Asian,data.Non-immigrants,59.0
2021,data.Southeast Asian,"data.Total, 15 years and over",67.0
2021,data.Southeast Asian,data.Women+,63.0
2021,"data.Total, Visible minority",data.15 to 24 years,78.0
2021,"data.Total, Visible minority",data.25 to 64 years,80.4
2021,"data.Total, Visible minority",data.65 years and over,75.0
2021,"data.Total, Visible minority",data.Immigrants,78.0
2021,"data.Total, Visible minority",data.Men+,81.5
2021,"data.Total, Visible minority",data.Non-immigrants,79.0
2021,"data.Total, Visible minority","data.Total, 15 years and over",79.0
2021,"data.Total, Visible minority",data.Women+,76.0
2021,data.Total visible minority population,data.15 to 24 years,75.0
2021,data.Total visible minority population,data.25 to 64 years,78.0
2021,data.Total visible minority population,data.65 years and over,78.0
2021,data.Total visible minority population,data.Immigrants,78.0
2021,data.Total visible minority population,data.Men+,79.0
2021,data.Total visible minority population,data.Non-immigrants,72.0
2021,data.Total visible minority population,"data.Total, 15 years and over",77.0
2021,data.Total visible minority population,data.Women+,75.0
2014,,data.15 to 24 years,88.0
2014,,data.25 to 64 years,92.75
2014,,data.65 years and over,91.5
2014,,data.Men,96.0
2019,,data.Men,92.0
2014,,data.Women,88.0
2019,,data.Women,83.0
