Year,Units,data.Geography,data.Type of cyber-related violation,data.Cyber-related violation,Value
2015,"data.Rate per 100,000 population",,,,55.6
2016,"data.Rate per 100,000 population",,,,73.7
2017,"data.Rate per 100,000 population",,,,81.7
2018,"data.Rate per 100,000 population",,,,91.9
2019,"data.Rate per 100,000 population",,,,129.3
2020,"data.Rate per 100,000 population",,,,172.0
2021,"data.Rate per 100,000 population",,,,188.2
2022,"data.Rate per 100,000 population",,,,191.0
2015,data.Number,,,,17887.0
2016,data.Number,,,,23996.0
2017,data.Number,,,,27829.0
2018,data.Number,,,,33893.0
2019,data.Number,,,,48318.0
2020,data.Number,,,,65141.0
2021,data.Number,,,,71727.0
2022,data.Number,,,,74073.0
2015,data.Number,data.Canada,data.Against a person,data.Luring a child via a computer,850.0
2015,data.Number,data.Canada,data.Against a person,data.Non-consensual distribution of intimate images,97.0
2015,data.Number,data.Canada,data.Against a person,data.Extortion,709.0
2015,data.Number,data.Canada,data.Against a person,data.Criminal harassment,1001.0
2015,data.Number,data.Canada,data.Against a person,data.Indecent/Harassing communications,1202.0
2015,data.Number,data.Canada,data.Against a person,data.Uttering threats,1139.0
2015,data.Number,data.Canada,data.Against a person,data.Fraud,8429.0
2015,data.Number,data.Canada,data.Against a person,data.Identity theft,191.0
2015,data.Number,data.Canada,data.Against a person,data.Identity fraud,695.0
2015,data.Number,data.Canada,data.Against a person,data.Child pornography,1753.0
2015,data.Number,data.Canada,data.Against a person,data.Making or distribution of child pornography,850.0
2016,data.Number,data.Canada,data.Against a person,data.Luring a child via a computer,1108.0
2016,data.Number,data.Canada,data.Against a person,data.Non-consensual distribution of intimate images,295.0
2016,data.Number,data.Canada,data.Against a person,data.Extortion,797.0
2016,data.Number,data.Canada,data.Against a person,data.Criminal harassment,1058.0
2016,data.Number,data.Canada,data.Against a person,data.Indecent/Harassing communications,1655.0
2016,data.Number,data.Canada,data.Against a person,data.Uttering threats,1356.0
2016,data.Number,data.Canada,data.Against a person,data.Fraud,11383.0
2016,data.Number,data.Canada,data.Against a person,data.Identity theft,260.0
2016,data.Number,data.Canada,data.Against a person,data.Identity fraud,828.0
2016,data.Number,data.Canada,data.Against a person,data.Child pornography,1278.0
2016,data.Number,data.Canada,data.Against a person,data.Making or distribution of child pornography,2886.0
2017,data.Number,data.Canada,data.Against a person,data.Luring a child via a computer,1132.0
2017,data.Number,data.Canada,data.Against a person,data.Non-consensual distribution of intimate images,516.0
2017,data.Number,data.Canada,data.Against a person,data.Extortion,893.0
2017,data.Number,data.Canada,data.Against a person,data.Criminal harassment,1291.0
2017,data.Number,data.Canada,data.Against a person,data.Indecent/Harassing communications,2302.0
2017,data.Number,data.Canada,data.Against a person,data.Uttering threats,1674.0
