Value,Disaggregation combinations using this value,Number of indicators
data.15 to 24 years,56,1
data.25 to 34 years,56,1
data.35 to 44 years,56,1
data.45 to 54 years,56,1
data.55 years and over,56,1
data.Bisexual or pansexual,56,1
data.Does not have a disability,56,1
data.First Nations (North American Indian),56,1
data.Has a disability,56,1
data.Heterosexual,56,1
data.Immigrants,56,1
data.Indigenous identity,56,1
data.Inuk (Inuit),56,1
data.Lesbian or gay,56,1
data.M�tis,56,1
data.Non-immigrants,56,1
data.Non-indigenous identity,56,1
data.Not a visible minority,56,1
data.Not stated - immigrant status,56,1
data.Not stated - population by indigenous identity,56,1
data.Not stated - sexual orientation,56,1
data.Not stated - visible minority population,56,1
data.Other indigenous identity,56,1
data.Sexual minority,56,1
data.Sexual orientation not elsewhere classified,56,1
data.Total - age,56,1
data.Total - disability status,56,1
data.Total - immigrant status,56,1
data.Total - population by indigenous identity,56,1
data.Total - sexual orientation,56,1
data.Total - visible minority population,56,1
data.Visible minority population,56,1
