Value,Disaggregation combinations using this value,Number of indicators
40.2,1,1
45.3,1,1
46.6,1,1
50.6,1,1
51.8,1,1
52.8,1,1
53.3,1,1
53.4,1,1
53.9,1,1
54.0,1,1
54.1,1,1
54.4,1,1
54.5,1,1
54.7,1,1
55.1,2,1
55.2,1,1
55.4,2,1
55.8,1,1
55.9,1,1
56.0,1,1
56.2,1,1
56.3,1,1
57.1,1,1
57.7,1,1
57.8,2,1
57.9,3,1
58.2,1,1
58.3,2,1
58.5,4,1
58.9,2,1
59.2,2,1
59.5,1,1
59.7,4,1
59.8,1,1
59.9,1,1
60.0,3,1
60.2,1,1
60.3,4,1
60.4,1,1
60.5,2,1
60.6,3,1
60.8,1,1
60.9,4,1
61.0,1,1
61.1,2,1
61.2,2,1
61.3,4,1
61.5,1,1
61.7,3,1
61.8,2,1
61.9,1,1
62.0,1,1
62.1,4,1
62.2,4,1
62.3,4,1
62.4,4,1
62.5,1,1
62.6,2,1
62.7,1,1
62.8,2,1
62.9,3,1
63.0,2,1
63.1,5,1
63.2,4,1
63.3,2,1
63.4,3,1
63.5,3,1
63.6,1,1
63.7,3,1
63.8,5,1
63.9,2,1
64.0,4,1
64.1,2,1
64.2,2,1
64.3,2,1
64.4,5,1
64.5,3,1
64.6,5,1
64.7,6,1
64.8,5,1
64.9,4,1
65.0,4,1
65.1,2,1
65.2,3,1
65.3,4,1
65.4,6,1
65.5,6,1
65.6,3,1
65.7,3,1
65.8,4,1
65.9,4,1
66.0,4,1
66.1,5,1
66.2,6,1
66.3,6,1
66.4,7,1
66.5,1,1
66.6,5,1
66.7,5,1
66.8,5,1
66.9,5,1
67.0,5,1
67.1,7,1
67.2,2,1
67.3,6,1
67.4,6,1
67.5,4,1
67.6,5,1
67.7,5,1
67.8,6,1
67.9,2,1
68.0,8,1
68.1,3,1
68.2,8,1
68.3,10,1
68.4,3,1
68.5,9,1
68.6,5,1
68.7,10,1
68.8,3,1
68.9,5,1
69.0,6,1
69.1,6,1
69.2,7,1
69.3,9,1
69.4,5,1
69.5,9,1
69.6,6,1
69.7,6,1
69.8,8,1
69.9,7,1
70.0,9,1
70.1,4,1
70.2,3,1
70.3,7,1
70.4,4,1
70.5,8,1
70.6,5,1
70.7,6,1
70.8,9,1
70.9,7,1
71.0,8,1
71.1,7,1
71.2,5,1
71.3,4,1
71.4,11,1
71.5,7,1
71.6,5,1
71.7,3,1
71.8,3,1
71.9,2,1
72.0,7,1
72.1,4,1
72.2,8,1
72.3,6,1
72.4,4,1
72.5,8,1
72.6,3,1
72.7,8,1
72.8,5,1
72.9,5,1
73.0,5,1
73.1,5,1
73.2,6,1
73.3,5,1
73.4,2,1
73.5,3,1
73.6,6,1
73.7,7,1
73.8,4,1
73.9,3,1
74.0,4,1
74.1,4,1
74.2,2,1
74.3,5,1
74.4,5,1
74.5,2,1
74.6,2,1
74.7,6,1
74.8,2,1
74.9,5,1
75.0,3,1
75.1,2,1
75.2,3,1
75.3,3,1
75.4,5,1
75.5,3,1
75.6,6,1
75.7,1,1
75.8,2,1
75.9,1,1
76.0,3,1
76.1,4,1
76.2,3,1
76.3,2,1
76.4,1,1
76.5,1,1
76.6,3,1
76.7,2,1
76.8,1,1
76.9,1,1
77.0,2,1
77.1,3,1
77.2,1,1
77.4,3,1
77.5,3,1
77.6,2,1
77.7,4,1
77.8,3,1
77.9,3,1
78.0,2,1
78.1,3,1
78.2,3,1
78.3,2,1
78.4,2,1
78.5,2,1
78.6,1,1
78.7,2,1
78.8,2,1
78.9,2,1
79.0,1,1
79.1,3,1
79.3,2,1
79.5,2,1
79.6,1,1
79.7,2,1
79.8,2,1
79.9,2,1
80.1,1,1
80.2,1,1
80.3,2,1
80.4,1,1
80.7,1,1
80.9,3,1
81.0,1,1
81.2,1,1
81.6,1,1
81.7,1,1
82.7,1,1
82.9,1,1
83.0,3,1
83.4,1,1
83.5,1,1
83.6,1,1
83.7,1,1
84.0,1,1
84.7,1,1
84.8,2,1
84.9,1,1
85.2,1,1
85.3,1,1
85.4,1,1
85.8,1,1
87.0,1,1
89.1,1,1
89.2,1,1
data.All children,167,1
data.Both sexes,816,9
data.Both,244,1
data.Female,363,3
data.Females,721,8
data.Male,363,3
data.Males,721,8
data.Men,3,2
data.Women,3,2
