Value,Disaggregation combinations using this value,Number of indicators
All persons,101,1
Couples with children,25,1
Couples with other relatives,25,1
Couples,25,1
Economic families and persons not in an economic family,24,1
Economic families,25,1
Non-senior families,25,1
Non-senior men+ not in an economic family,127,2
Non-senior women+ not in an economic family,127,2
Non-seniors not in an economic family,202,3
One-parent families in which the parent is a man+,25,1
One-parent families in which the parent is a woman+,25,1
One-parent families,25,1
Other non-senior families,25,1
Other senior families,25,1
Persons in all other economic families,19,1
Persons in couple families with children,125,2
Persons in couple families with other relatives,102,1
Persons in couples,102,1
Persons in economic families,275,2
Persons in non-senior families,102,1
Persons in one-parent families where the parent is a man+,102,1
Persons in one-parent families where the parent is a woman+,102,1
Persons in one-parent families,102,1
Persons in other non-senior families,102,1
Persons in other senior families,102,1
Persons in senior couples,102,1
Persons in senior families,102,1
Persons not in an economic family,202,3
Senior couples,25,1
Senior families,25,1
Senior men+ not in an economic family,127,2
Senior women+ not in an economic family,127,2
Seniors in economic families,60,1
Seniors not in an economic family,197,3
Total,296,1
