Value,Disaggregation combinations using this value,Number of indicators
Alberta,12,3
Atlantic provinces,3,1
British Columbia,12,3
"Canada,  65 years and over",3,1
Canada,27,3
"data.Abbotsford - Mission, British Columbia",1,1
data.Alberta,9,2
"data.Barrie, Ontario",1,1
"data.Belleville, Ontario",1,1
"data.Brantford, Ontario",1,1
data.British Columbia,9,2
"data.Calgary, Alberta",1,1
data.Canada,7,1
"data.Edmonton, Alberta",1,1
"data.Gatineau, Quebec",1,1
"data.Greater Sudbury, Ontario",1,1
"data.Guelph, Ontario",1,1
"data.Halifax, Nova Scotia",1,1
"data.Hamilton, Ontario",1,1
"data.Kelowna, British Columbia",1,1
"data.Kingston, Ontario",1,1
"data.Kitchener - Cambridge - Waterloo, Ontario",1,1
"data.Lethbridge, Alberta",1,1
"data.London, Ontario",1,1
data.Manitoba,9,2
"data.Moncton, New Brunswick",1,1
"data.Montréal, Quebec",1,1
data.New Brunswick,9,2
data.Newfoundland and Labrador,9,2
data.Northwest Territories,8,1
data.Nova Scotia,9,2
data.Nunavut,6,1
data.Ontario,9,2
"data.Ottawa, Ontario",1,1
"data.Peterborough, Ontario",1,1
data.Prince Edward Island,9,2
data.Quebec,9,2
"data.Québec, Quebec",1,1
"data.Regina, Saskatchewan",1,1
"data.Saguenay, Quebec",1,1
"data.Saint John, New Brunswick",1,1
data.Saskatchewan,9,2
"data.Saskatoon, Saskatchewan",1,1
"data.Sherbrooke, Quebec",1,1
"data.St. Catharines - Niagara, Ontario",1,1
"data.St. John's, Newfoundland and Labrador",1,1
"data.Thunder Bay, Ontario",1,1
"data.Toronto, Ontario",1,1
"data.Trois-Rivières, Quebec",1,1
"data.Vancouver, British Columbia",1,1
"data.Victoria, British Columbia",1,1
"data.Windsor, Ontario",1,1
"data.Winnipeg, Manitoba",1,1
data.Yukon,8,1
Manitoba,12,3
New Brunswick,12,3
Newfoundland and Labrador,12,3
Northwest Territories,9,2
Nova Scotia,12,3
Nunavut,9,2
Ontario,12,3
Prairie provinces,3,1
Prince Edward Island,10,3
Quebec,12,3
Saskatchewan,12,3
Yukon,9,2
