Value,Disaggregation combinations using this value,Number of indicators
Agricultural Ammonia Emissions,1,1
Agricultural Greenhouse gas,1,1
Agricultural Particulate Matter Emissions,1,1
Compound Index,4,1
Residual Soil Nitrogen,1,1
Risk of Soil Erosion,1,1
Risk of Soil Salinization,1,1
Risk of Water Contamination by Coliforms,1,1
Risk of Water Contamination by Pesticides,1,1
Risk of water contamination by phosphorus,1,1
Soil Cover,1,1
Soil Organic Carbon Change,1,1
Wildlife Habitat on Farmland,1,1
