Value,Disaggregation combinations using this value,Number of indicators
Beverage and tobacco product manufacturing,30,1
Chemical manufacturing,30,1
"Electric power generation, transmission and distribution",30,1
Fabricated metal product manufacturing,30,1
Food manufacturing,30,1
Furniture and related product manufacturing,30,1
Logging (except contract),30,1
Machinery manufacturing,30,1
Mining and quarrying,30,1
Natural gas distribution,30,1
Non-metallic mineral product manufacturing,30,1
Oil and gas extraction,30,1
Other manufacturing industries,30,1
Paper manufacturing,30,1
Petroleum and coal product manufacturing,30,1
Pipeline transportation,30,1
Plastics and rubber products manufacturing,30,1
Primary metal manufacturing,30,1
"Total, industries",420,1
Transportation equipment manufacturing,30,1
Wood product manufacturing,30,1
